0 0|0 100|100 100|100 0;Territory 1;0;12;
100 0|100 100|200 100|200 0;Territory 2;1;5;
0 100|0 200|100 200|100 100;Territory 3;1;10;
100 100|100 200|200 200|200 100;Territory 4;0;20;
300 300|400 400|300 400;Territory 5;0;55;
600 100|575 175|650 225|725 175|700 100;Territory 6;1;55;
757 526|672 523|610 576|585 660|634 725|743 750|812 666;Territory 7;0;12;
757 526|848 560|884 626|812 666;Territory 8;0;12;
812 666|852 811|900 825|973 701|884 626;Territory 9;0;12;
812 666|743 750|750 795|852 811;Territory 10;0;12;
750 795|776 982|836 982|900 825|852 811;Territory 11;0;12;
936 882|916 941|946 975|1005 870|984 835;Territory 12;0;12;
